iter	Passed	Remaining
411	3828	5464
412	3835	5452
413	3847	5446
414	3858	5439
415	3865	5425
416	3872	5413
417	3879	5401
418	3886	5389
419	3895	5379
420	3903	5368
421	3912	5359
422	3920	5347
423	3928	5336
424	3936	5325
425	3943	5313
426	3952	5304
427	3962	5295
428	3970	5284
429	3977	5272
430	3985	5261
431	3994	5251
432	4002	5240
433	4015	5236
434	4027	5230
435	4038	5224
436	4048	5216
437	4103	5265
438	4144	5296
439	4163	5299
440	4179	5297
441	4187	5286
442	4199	5280
443	4209	5271
444	4220	5263
445	4232	5257
446	4242	5248
447	4251	5239
448	4261	5229
449	4272	5222
450	4281	5212
451	4291	5202
452	4299	5191
453	4309	5182
454	4319	5173
455	4328	5164
456	4337	5153
457	4348	5145
458	4355	5133
459	4365	5124
460	4376	5116
461	4384	5106
462	4394	5097
463	4403	5087
464	4413	5078
465	4423	5069
466	4433	5060
467	4444	5052
468	4455	5044
469	4466	5036
470	4479	5031
471	4491	5024
472	4500	5013
473	4511	5006
474	4522	4998
475	4531	4987
476	4543	4981
477	4552	4971
478	4562	4962
479	4573	4954
480	4583	4945
481	4592	4935
482	4602	4926
483	4611	4916
484	4621	4906
485	4630	4897
486	4641	4889
487	4648	4877
488	4660	4869
489	4669	4860
490	4676	4848
491	4685	4838
492	4692	4825
493	4700	4814
494	4707	4802
495	4714	4790
496	4721	4778
497	4728	4766
498	4737	4755
499	4744	4744
500	4753	4734
501	4760	4722
502	4769	4712
503	4777	4701
504	4784	4690
505	4796	4682
506	4803	4670
507	4812	4660
508	4819	4649
509	4827	4638
510	4835	4627
511	4842	4615
512	4851	4606
513	4859	4594
514	4867	4584
515	4874	4572
516	4886	4565
517	4894	4554
518	4903	4544
519	4911	4534
520	4920	4523
521	4930	4514
522	4939	4504
523	4948	4495
524	4956	4484
525	4965	4474
526	4972	4463
527	4981	4453
528	4989	4442
529	4997	4431
530	5005	4421
531	5013	4410
532	5021	4399
533	5094	4446
534	5131	4459
535	5149	4457
536	5181	4467
537	5196	4462
538	5222	4466
539	5241	4464
540	5249	4453
541	5258	4443
542	5267	4433
543	5276	4422
544	5285	4412
545	5294	4402
546	5303	4392
547	5312	4381
548	5321	4371
549	5329	4360
550	5339	4351
551	5347	4340
552	5356	4329
553	5366	4320
554	5373	4308
555	5382	4298
556	5390	4287
557	5399	4277
558	5406	4265
559	5415	4255
560	5423	4243
561	5433	4234
562	5440	4223
563	5451	4214
564	5459	4203
565	5466	4191
566	5474	4180
567	5483	4170
568	5492	4160
569	5501	4150
570	5510	4139
571	5518	4129
572	5527	4118
573	5536	4108
574	5545	4098
575	5552	4087
576	5561	4076
577	5568	4065
578	5578	4056
579	5587	4046
580	5597	4036
581	5607	4027
582	5616	4017
583	5626	4008
584	5634	3997
585	5642	3986
586	5651	3976
587	5660	3965
588	5668	3955
589	5677	3945
590	5686	3935
591	5696	3926
592	5703	3914
593	5713	3905
594	5720	3893
595	5728	3883
596	5738	3873
597	5746	3863
598	5754	3852
599	5765	3843
600	5773	3833
601	5782	3822
602	5796	3816
603	5804	3805
604	5814	3796
605	5824	3786
606	5833	3776
607	5842	3766
608	5850	3756
609	5859	3746
610	5869	3736
611	5877	3726
612	5886	3716
613	5897	3707
614	5912	3701
615	5922	3691
616	5930	3681
617	5942	3673
618	5949	3661
619	5957	3651
620	5965	3641
621	5979	3633
622	6025	3646
623	6035	3637
624	6052	3631
625	6066	3624
626	6079	3616
627	6089	3607
628	6101	3598
629	6114	3591
630	6130	3584
631	6138	3574
632	6152	3567
633	6163	3557
634	6173	3548
635	6183	3538
636	6192	3528
637	6200	3518
638	6210	3508
639	6218	3498
640	6228	3488
641	6237	3478
642	6247	3468
643	6255	3457
644	6264	3448
645	6273	3438
646	6284	3428
647	6294	3418
648	6304	3409
649	6318	3402
650	6328	3392
651	6335	3381
652	6342	3370
653	6349	3359
654	6357	3348
655	6366	3338
656	6374	3328
657	6382	3317
658	6396	3310
659	6406	3300
660	6416	3290
661	6425	3280
662	6432	3269
663	6439	3258
664	6446	3247
665	6454	3237
666	6463	3226
667	6473	3217
668	6480	3206
669	6489	3196
670	6497	3185
671	6507	3176
672	6514	3165
673	6522	3155
674	6530	3144
675	6537	3133
676	6544	3122
677	6552	3111
678	6559	3100
679	6567	3090
680	6575	3080
681	6583	3069
682	6589	3058
683	6596	3047
684	6608	3038
685	6618	3029
686	6636	3023
687	6646	3013
688	6656	3004
689	6666	2995
690	6676	2985
691	6686	2976
692	6696	2966
693	6709	2958
694	6720	2949
695	6728	2938
696	6736	2928
697	6745	2918
698	6761	2911
699	6780	2905
700	6789	2895
701	6799	2886
702	6810	2877
703	6822	2868
704	6834	2859
705	6843	2849
706	6851	2839
707	6859	2829
708	6868	2819
709	6878	2809
710	6887	2799
711	6897	2789
712	6905	2779
713	6914	2769
714	6922	2759
715	6931	2749
716	6940	2739
717	6949	2729
718	6960	2720
719	6968	2710
720	6977	2699
721	6985	2689
722	6997	2681
723	7010	2672
724	7024	2664
725	7033	2654
726	7041	2644
727	7049	2633
728	7058	2623
729	7066	2613
730	7075	2603
731	7085	2594
732	7093	2583
733	7104	2574
734	7115	2565
735	7124	2555
736	7139	2547
737	7148	2537
738	7161	2529
739	7177	2521
740	7188	2512
741	7197	2502
742	7209	2493
743	7222	2485
744	7235	2476
745	7246	2467
746	7255	2457
747	7266	2447
748	7276	2438
749	7289	2429
750	7308	2423
751	7319	2413
752	7328	2403
753	7345	2396
754	7353	2386
755	7363	2376
756	7371	2366
757	7381	2356
758	7389	2346
759	7401	2337
760	7410	2327
761	7420	2317
762	7429	2307
763	7438	2297
764	7449	2288
765	7460	2278
766	7469	2268
767	7480	2259
768	7488	2249
769	7498	2239
770	7507	2229
771	7518	2220
772	7528	2210
773	7536	2200
774	7547	2191
775	7559	2182
776	7572	2173
777	7581	2163
778	7593	2154
779	7603	2144
780	7612	2134
781	7630	2127
782	7640	2117
783	7663	2111
784	7678	2103
785	7689	2093
786	7706	2085
787	7719	2076
788	7729	2067
789	7742	2058
790	7751	2048
791	7759	2037
792	7768	2027
793	7775	2017
794	7784	2007
795	7791	1996
796	7801	1986
797	7811	1977
798	7820	1967
799	7830	1957
800	7837	1947
801	7849	1938
802	7858	1927
803	7866	1917
804	7874	1907
805	7883	1897
806	7891	1887
807	7902	1877
808	7910	1867
809	7922	1858
810	7934	1849
811	7943	1839
812	7951	1828
813	7960	1819
814	7968	1808
815	7977	1798
816	7984	1788
817	7992	1778
818	8003	1768
819	8011	1758
820	8018	1748
821	8029	1738
822	8039	1729
823	8049	1719
824	8057	1709
825	8065	1699
826	8074	1689
827	8081	1678
828	8090	1668
829	8096	1658
830	8107	1648
831	8120	1639
832	8128	1629
833	8140	1620
834	8153	1611
835	8170	1602
836	8193	1595
837	8213	1587
838	8233	1580
839	8246	1570
840	8258	1561
841	8268	1551
842	8279	1541
843	8289	1532
844	8300	1522
845	8312	1513
846	8319	1502
847	8329	1492
848	8337	1482
849	8349	1473
850	8361	1464
851	8370	1454
852	8379	1444
853	8389	1434
854	8399	1424
855	8408	1414
856	8418	1404
857	8426	1394
858	8434	1384
859	8443	1374
860	8450	1364
861	8462	1354
862	8471	1344
863	8480	1334
864	8492	1325
865	8501	1315
866	8512	1305
867	8522	1296
868	8532	1286
869	8542	1276
870	8551	1266
871	8560	1256
872	8570	1246
873	8578	1236
874	8588	1226
875	8599	1217
876	8609	1207
877	8620	1197
878	8631	1188
879	8641	1178
880	8653	1168
881	8663	1159
882	8677	1149
883	8686	1139
884	8694	1129
885	8707	1120
886	8717	1110
887	8725	1100
888	8734	1090
889	8742	1080
890	8753	1070
891	8764	1061
892	8771	1051
893	8779	1040
894	8788	1031
895	8796	1021
896	8804	1011
897	8814	1001
898	8822	991
899	8832	981
900	8839	971
901	8851	961
902	8860	951
903	8870	942
904	8878	932
905	8885	921
906	8895	912
907	8904	902
908	8913	892
909	8925	882
910	8932	872
911	8943	862
912	8950	852
913	8958	842
